id;name_ru;name_kz;begin_date;end_date;create_date;last_update_date
1;'Поправочный коэффициент';'Поправочный коэффициент';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
2;'Коэффициент по кодам должности и стажу';'Коэффициент по кодам должности и стажу';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
3;'Повышающий коэффициент';'Повышающий коэффициент';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
4;'Коэффициент за проживание на территориях радиационного риска';'Коэффициент за проживание на территориях радиационного риска';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
5;'Коэффициент за проживание в зонах экологического бедствия';'Коэффициент за проживание в зонах экологического бедствия';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
6;'Коэффициент инфляции';'Коэффициент инфляции';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
7;'Коэффициент для исчисления доплаты за классный чин по воинским званиям';'Коэффициент для исчисления доплаты за классный чин по воинским званиям';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
8;'Коэффициент для исчисления оклада по воинским званиям';'Коэффициент для исчисления оклада по воинским званиям';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
9;'Коэффициент для исчисления доплаты за специальные звания по воинским званиям';'Коэффициент для исчисления доплаты за специальные звания по воинским званиям';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
10;'Базовая страховая премия';' Базовая страховая премия';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
11;'Коэффициент в зависимости от возраста и стажа вождения для ЮЛ';'Коэффициент в зависимости от возраста и стажа вождения для ЮЛ';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
