id;exp_type_id;order_number;name_ru;name_kz;begin_date;end_date;create_date;last_update_date
1;1;1;'До года';'До года';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
2;1;2;'с 1 до 2';'с 1 до 2';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
3;1;3;'с 2 до 3';'с 2 до 3';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
4;1;4;'с 3 до 5';'с 3 до 5';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
5;1;5;'с 5 до 7';'с 5 до 7';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
6;1;6;'с 7 до 9';'с 7 до 9';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
7;1;7;'с 9 до 11';'с 9 до 11';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
8;1;8;'с 11 до 14';'с 11 до 14';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
9;1;9;'с 14 до 17';'с 14 до 17';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
10;1;10;'с 17 до 20';'с 17 до 20';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
11;1;11;'свыше 20 лет';'свыше 20 лет';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
12;3;1;'0 - 1';'0 - 1';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
13;3;2;'1 - 2';'1 - 2';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
14;3;3;'2 - 3';'2 - 3';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
15;3;4;'3 - 5';'3 - 5';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
16;3;5;'5 - 7';'5 - 7';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
17;3;6;'7 - 10';'7 - 10';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
18;3;7;'10 - 13';'10 - 13';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
19;3;8;'13 - 16';'13 - 16';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
20;3;9;'16 - 20';'16 - 20';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
21;3;10;'20 - 25';'20 - 25';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
22;3;11;'Свыше 25 лет';'Свыше 25 лет';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
23;2;1;'0 - 3';'0 - 3';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
24;2;2;'3 - 6';'3 - 6';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
25;2;3;'6 - 9';'6 - 9';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
26;2;4;'9 - 12';'9 - 12';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
27;2;5;'12 - 16';'12 - 16';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
28;2;6;'16 - 20';'16 - 20';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
29;2;7;'20 - 25';'20 - 25';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
30;2;8;'Свыше 25';'Свыше 25';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
