id;kat;kat_type;exp_type;order_number;begin_date;end_date;create_date;last_update_date
1;'A';1;1;1;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
2;'C-1';2;1;1;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
3;'C-2';2;1;2;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
4;'C-3';2;1;3;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
5;'C-4';2;1;4;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
6;'C-5';2;1;5;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
7;'C-O-1';2;1;1;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
8;''C-O-2;2;1;2;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
9;'C-O-3';2;1;3;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
10;'C-O-4';2;1;4;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
11;'C-O-5';2;1;5;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
12;'C-O-6';2;1;6;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
13;'C-R-1';2;1;7;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
14;'C-R-2';2;1;8;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
15;'C-R-3';2;1;9;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
16;'C-R-4';2;1;10;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
17;'C-R-5';2;1;11;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
18;'C-GD-1';3;1;1;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
19;'C-GD-2';3;1;2;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
20;'C-GD-3';3;1;3;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
21;'C-GD-4';3;1;4;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
22;'C-GD-5';3;1;5;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
23;'C-GD-6';3;1;6;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
24;'C-GDO-1';3;1;7;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
25;'C-GDO-2';3;1;8;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
26;'C-GDO-3';3;1;9;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
27;'C-GDO-4';3;1;10;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
28;'C-GDO-5';3;1;11;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
29;'C-GDO-6';3;1;12;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
30;'C-GDP-1';3;1;13;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
31;'C-GDP-2';3;1;14;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
32;'C-GDP-3';3;1;15;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
33;'C-GDP-4';3;1;16;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
